step,state_hash,next_hash,b1,b2,b3,lane,stitch,strand,snap_changed,u,u_next,energy_before,energy_after
0,352d475051703a87d6b2f2a8bf6a403644959023c0ab35aa1f288b8b30fb9d72,d3543a772cb2b4770677a171b13a37c06c45fe144d837d8d4944a4e00bc2f220,1,0,0,6,L,A,1,"[0, 0, 1, 1]","[0, 0, 0, 0]",0.0,0.0
1,d3543a772cb2b4770677a171b13a37c06c45fe144d837d8d4944a4e00bc2f220,d3543a772cb2b4770677a171b13a37c06c45fe144d837d8d4944a4e00bc2f220,1,1,0,6,L,A,0,"[0, 0, 0, 0]","[0, 0, 1, 1]",0.0,0.0
2,d3543a772cb2b4770677a171b13a37c06c45fe144d837d8d4944a4e00bc2f220,d3543a772cb2b4770677a171b13a37c06c45fe144d837d8d4944a4e00bc2f220,1,1,1,2,S,C,0,"[0, 0, 1, 1]","[0, 0, 0, 1]",0.0,0.0
3,d3543a772cb2b4770677a171b13a37c06c45fe144d837d8d4944a4e00bc2f220,d3543a772cb2b4770677a171b13a37c06c45fe144d837d8d4944a4e00bc2f220,1,1,1,3,S,C,0,"[0, 0, 0, 1]","[0, 0, 0, 0]",0.0,0.0
